Empresa,Nombre,Capacidad,Entidad,Tecnologia,Latitud,Longitud,Fecha de operacion,Combustible,Generacion
CFE,CT Carbon II,1400,Coahuila,Carboelectrica,28.4682379,-100.7029,1993,Carbon,4
CFE,CT Jose Lopez Portillo (Rio Escondido),1285,Coahuila,Carboelectrica,28.4844162,-100.692266,1982,Carbon,4
CFE,CT Plutarco Elias Calles (Petacalco),2778.4,Guerrero,Carboelectrica,17.981411,-102.1229,1993,Carbon,2
CFE,CC Presidente Jurez (Rosarito),743,Baja California,Ciclo Combinado,32.3684945,-117.084442,1963,Gas Natural,3
PI,Mexicali,489,Baja California,Ciclo Combinado,32.6009142,-115.659276,2003,Gas Natural,5
PI,Campeche,252.4,Campeche,Ciclo Combinado,17.9406683,-91.73477,2003,Gas Natural,5
CFE,CC Chihuahua II (El Encino),619.4,Chihuahua,Ciclo Combinado,28.4470027,-105.922675,2001,Gas Natural,4
CFE,CC Samalayuca II,522,Chihuahua,Ciclo Combinado,31.3302947,-106.486312,1998,Gas Natural,4
PI,Norte II,433,Chihuahua,Ciclo Combinado,28.4402827,-105.918964,2013,Gas Natural,5
PI,Chihuahua III,259,Chihuahua,Ciclo Combinado,31.3331032,-106.490956,2003,Gas Natural,5
PI,Saltillo,247.5,Coahuila,Ciclo Combinado,25.59471,-100.90652,2001,Gas Natural,5
CFE,CC Manzanillo I (Gral Manuel alvarez Moreno),1454,Colima,Ciclo Combinado,19.0257806,-104.319422,2013,Gas Natural,2
CFE,CC Gomez Palacio,240,Durango,Ciclo Combinado,25.5944954,-103.47463,1976,Gas Natural,4
PI,La Laguna II,498,Durango,Ciclo Combinado,25.6020413,-103.474385,2005,Gas Natural,5
CFE,Norte Durango (La Trinidad),450,Durango,Ciclo Combinado,24.229667,-104.482172,2010,Gas Natural,5
CFE,CC Valle de Mexico (Paquete II),549,Estado de Mexico,Ciclo Combinado,19.6167593,-98.976099,1963,Gas Natural,1
PI,CC Bajio,495,Guanajuato,Ciclo Combinado,21.24513,-100.610426,,Gas Natural,5
CFE,CC Francisco Perez Rios (Tula),489,Hidalgo,Ciclo Combinado,20.0596515,-99.277541,1975,Gas Natural,1
CFE,CC Huinala I,378,Nuevo Leon,Ciclo Combinado,25.7201712,-100.10166,1981,Gas Natural,4
CFE,CC Huinala II,471.2,Nuevo Leon,Ciclo Combinado,25.719078,-100.102553,1981,Gas Natural,4
PI,Monterrey III (Dulces Nombres),449,Nuevo Leon,Ciclo Combinado,25.7177018,-100.093091,2002,Gas Natural,5
CFE,CC San Lorenzo Potencia,382.1,Puebla,Ciclo Combinado,19.1203463,-98.243689,2009,Gas Natural,1
CFE,CC El Sauz,591,Queretaro,Ciclo Combinado,20.4579153,-100.118472,1981,Gas Natural,1
PI,Iberdrola Energia Tamazunchale,1135,San Luis Potosí,Ciclo Combinado,21.311286,-98.759108,2007,Gas Natural,5
CFE,CC Agua Prieta II,409,Sonora,Ciclo Combinado,31.2636905,-109.592661,2016,Gas Natural,3
PI,CC Hermosillo,250,Sonora,Ciclo Combinado,29.0405563,-110.836059,1998,Gas Natural,3
PI,Naco Nogales,258,Sonora,Ciclo Combinado,31.2246505,-109.609806,2003,Gas Natural,5
PI,Altamira II,495,Tamaulipas,Ciclo Combinado,22.497778,-97.901667,2002,Gas Natural,5
PI,Altamira III y IV,1036,Tamaulipas,Ciclo Combinado,22.4955237,-97.902453,2003,Gas Natural,5
PI,Altamira V,1121,Tamaulipas,Ciclo Combinado,22.4973288,-97.906104,2007,Gas Natural,5
